Publisher,Year,Cumulative_Books
Macmillan & Co.,1857,1
Macmillan & Co.,1859,2
Macmillan & Co.,1862,3
Macmillan & Co.,1864,4
Macmillan & Co.,1869,5
Macmillan & Co.,1870,6
Macmillan & Co.,1873,7
Macmillan & Co.,1874,9
Macmillan & Co.,1875,10
Macmillan & Co.,1876,11
Macmillan & Co.,1880,14
Macmillan & Co.,1881,15
Macmillan & Co.,1882,17
Macmillan & Co.,1883,18
Macmillan & Co.,1884,22
Macmillan & Co.,1885,24
Macmillan & Co.,1886,28
Macmillan & Co.,1887,30
Macmillan & Co.,1888,31
Macmillan & Co.,1889,33
Macmillan & Co.,1890,36
Macmillan & Co.,1891,37
Macmillan & Co.,1892,38
Macmillan & Co.,1893,43
Macmillan & Co.,1894,45
Macmillan & Co.,1895,53
Macmillan & Co.,1896,69
Macmillan & Co.,1897,75
Macmillan & Co.,1898,82
Macmillan & Co.,1899,85
Longmans & Co.,1834,1
Longmans & Co.,1839,2
Longmans & Co.,1864,3
Longmans & Co.,1868,4
Longmans & Co.,1873,5
Longmans & Co.,1876,6
Longmans & Co.,1877,7
Longmans & Co.,1878,8
Longmans & Co.,1882,9
Longmans & Co.,1884,10
Longmans & Co.,1885,12
Longmans & Co.,1886,14
Longmans & Co.,1887,17
Longmans & Co.,1888,20
Longmans & Co.,1889,26
Longmans & Co.,1891,28
Longmans & Co.,1892,31
Longmans & Co.,1893,34
Longmans & Co.,1894,38
Longmans & Co.,1895,42
Longmans & Co.,1896,47
Longmans & Co.,1897,51
Longmans & Co.,1898,52
Hurst & Blackett,1853,1
Hurst & Blackett,1854,2
Hurst & Blackett,1855,3
Hurst & Blackett,1856,6
Hurst & Blackett,1857,7
Hurst & Blackett,1858,8
Hurst & Blackett,1859,9
Hurst & Blackett,1860,12
Hurst & Blackett,1861,14
Hurst & Blackett,1862,17
Hurst & Blackett,1863,20
Hurst & Blackett,1864,21
Hurst & Blackett,1865,22
Hurst & Blackett,1866,24
Hurst & Blackett,1867,26
Hurst & Blackett,1869,28
Hurst & Blackett,1870,30
Hurst & Blackett,1871,31
Hurst & Blackett,1875,32
Hurst & Blackett,1876,33
Hurst & Blackett,1877,34
Hurst & Blackett,1878,35
Hurst & Blackett,1880,38
Hurst & Blackett,1881,39
Hurst & Blackett,1882,40
Hurst & Blackett,1884,41
Hurst & Blackett,1885,42
Hurst & Blackett,1888,45
Hurst & Blackett,1889,46
Hurst & Blackett,1893,47
Hurst & Blackett,1897,49
Hurst & Blackett,1899,50
John Murray,1813,1
John Murray,1815,3
John Murray,1816,4
John Murray,1817,5
John Murray,1818,7
John Murray,1819,8
John Murray,1820,9
John Murray,1823,10
John Murray,1825,11
John Murray,1826,14
John Murray,1827,15
John Murray,1828,17
John Murray,1829,19
John Murray,1835,20
John Murray,1841,21
John Murray,1842,22
John Murray,1843,23
John Murray,1845,26
John Murray,1847,27
John Murray,1850,28
John Murray,1856,29
John Murray,1859,30
John Murray,1868,31
John Murray,1870,32
John Murray,1871,33
John Murray,1872,34
John Murray,1875,35
John Murray,1879,36
John Murray,1880,38
John Murray,1881,40
John Murray,1882,41
John Murray,1883,42
John Murray,1884,43
John Murray,1889,44
John Murray,1895,45
John Murray,1896,46
John Murray,1899,49
"Smith, Elder & Co.",1823,1
"Smith, Elder & Co.",1827,2
"Smith, Elder & Co.",1842,4
"Smith, Elder & Co.",1843,5
"Smith, Elder & Co.",1852,7
"Smith, Elder & Co.",1853,8
"Smith, Elder & Co.",1854,9
"Smith, Elder & Co.",1856,10
"Smith, Elder & Co.",1859,11
"Smith, Elder & Co.",1860,13
"Smith, Elder & Co.",1862,15
"Smith, Elder & Co.",1864,18
"Smith, Elder & Co.",1865,20
"Smith, Elder & Co.",1866,21
"Smith, Elder & Co.",1869,22
"Smith, Elder & Co.",1870,23
"Smith, Elder & Co.",1873,24
"Smith, Elder & Co.",1874,25
"Smith, Elder & Co.",1875,26
"Smith, Elder & Co.",1876,27
"Smith, Elder & Co.",1878,28
"Smith, Elder & Co.",1879,29
"Smith, Elder & Co.",1880,31
"Smith, Elder & Co.",1883,35
"Smith, Elder & Co.",1884,36
"Smith, Elder & Co.",1885,37
"Smith, Elder & Co.",1886,41
"Smith, Elder & Co.",1888,42
"Smith, Elder & Co.",1890,43
"Smith, Elder & Co.",1892,44
"Smith, Elder & Co.",1895,45
"Smith, Elder & Co.",1896,46
"Smith, Elder & Co.",1897,47
